Date,Close/Last,Volume,Open,High,Low
02-06-2024,$7.829,1344,$8.0221,$8.0221,$7.5349
02-05-2024,$7.7729,1057,$7.8035,$7.8035,$7.4804
02-02-2024,$7.6505,3004,$7.727,$7.9888,$7.1574
02-01-2024,$7.6522,2377,$7.8137,$7.9905,$7.2713
01/31/2024,$7.6675,3863,$7.6556,$8.0381,$7.1574
01/30/2024,$7.6505,8515,$8.0415,$8.4138,$7.6505
01/29/2024,$8.305,1897,$8.5005,$8.5005,$7.9956
01/26/2024,$8.3815,3306,$7.9854,$8.6484,$7.9854
01/25/2024,$8.2285,2262,$8.271,$8.4121,$7.8766
01/24/2024,$8.0415,1337,$8.1605,$8.2404,$7.9735
01/23/2024,$8.2438,3624,$8.2778,$8.2965,$7.9735
01/22/2024,$7.8375,1286,$8.5005,$8.5005,$7.8222
01/19/2024,$8.2081,1391,$8.1605,$8.5005,$7.6675
01/18/2024,$7.6301,1579,$8.5005,$8.6705,$7.6301
01/17/2024,$8.4155,2148,$8.5345,$8.6705,$8.4155
01/16/2024,$8.5005,6791,$8.5005,$8.6705,$8.203
01-12-2024,$8.288,6736,$8.883,$8.9646,$8.1945
01-11-2024,$8.611,3338,$9.3506,$9.3506,$8.3305
01-10-2024,$9.0904,3137,$9.4645,$9.5767,$8.696
01-09-2024,$9.7416,3926,$9.5206,$10.2006,$9.5036
01-08-2024,$9.3659,2586,$9.5206,$9.5206,$8.8745
01-05-2024,$9.4339,1460,$8.8405,$9.5206,$8.7997
01-04-2024,$9.1704,6873,$9.3166,$9.5206,$8.6705
01-03-2024,$9.4696,3888,$9.1806,$9.6566,$9.0785
01-02-2024,$9.0768,8623,$8.8405,$9.6906,$8.747
12/29/2023,$9.1295,34877,$9.0955,$10.1156,$8.5005
12/28/2023,$8.4631,18167,$8.7555,$9.8606,$8.3305
12/27/2023,$8.8065,77407,$7.9905,$9.9754,$7.8885
12/26/2023,$7.9905,8421,$7.9905,$8.2965,$7.4804
12/22/2023,$7.7202,9846,$7.6505,$8.8405,$7.2288
12/21/2023,$7.6624,21859,$7.8205,$8.6824,$7.4804
12/20/2023,$8.6824,20402,$8.1945,$9.5206,$8.0772
12/19/2023,$10.0306,8684,$10.4199,$10.7157,$10.0306
12/18/2023,$10.6426,8789,$11.7307,$11.7307,$10.0289
12/15/2023,$10.8977,3321,$11.2207,$11.2207,$10.6256
12/14/2023,$11.0524,7940,$10.4046,$11.2207,$10.374
12/13/2023,$10.7106,7805,$12.2424,$12.2577,$10.3706
12-12-2023,$11.219,5543,$11.1867,$11.7885,$10.8807
12-11-2023,$11.1017,10046,$12.1727,$12.3597,$11.1017
12-08-2023,$12.4107,13365,$11.5947,$12.9038,$11.5743
12-07-2023,$12.8698,26503,$12.477,$13.5957,$11.5743
12-06-2023,$12.9293,204545,$13.6008,$19.3812,$12.8562
12-05-2023,$13.4138,17626,$11.7052,$13.5838,$11.4077
12-04-2023,$11.7035,6603,$11.2326,$12.0605,$11.2207
12-01-2023,$11.2751,37405,$13.6008,$14.3659,$10.3026
11/30/2023,$14.4764,20017,$15.981,$17.001,$14.1108
11/29/2023,$15.981,18264,$16.661,$17.341,$15.306
11/28/2023,$17.001,27227,$17.001,$18.5311,$14.7909
11/27/2023,$18.1911,42197,$19.8912,$20.2312,$15.1309
11/24/2023,$20.5712,77105,$19.5512,$21.7613,$18.1911
11/22/2023,$22.1013,699061,$15.0459,$24.1414,$14.7059
11/21/2023,$14.4526,607848,$15.6426,$18.5311,$13.4478
11/20/2023,$15.2618,7407,$18.1911,$19.3404,$15.1105
11/17/2023,$18.1911,1168,$19.8912,$19.8912,$18.1911
11/16/2023,$18.5311,934,$20.0612,$20.4012,$18.5311
11/15/2023,$19.3795,719,$18.1911,$19.3982,$17.8511
11/14/2023,$18.8711,736,$18.1911,$19.6362,$17.3665
11/13/2023,$18.1911,807,$18.0211,$19.8912,$17.001
11-10-2023,$19.8912,2557,$25.5015,$25.5015,$17.001
11-09-2023,$24.9915,234,$23.6314,$25.5015,$23.6314
11-08-2023,$23.9714,400,$26.1816,$26.3516,$23.6314
